,statement,label,SentimentScore,CountPunc,Readability,CountWord
37,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",1,0.34,7,8.0,33
38,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",0,-0.4939,4,14.9,20
39,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",1,-0.6124,8,4.9,22
40,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,0,0.7906,5,5.6,19
41,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,1,-0.2732,1,7.8,16
42,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",0,0.0,2,12.8,16
43,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,0,0.0772,2,7.7,23
44,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,0,-0.4939,6,15.0,23
45,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,1,-0.7003,3,13.7,12
46,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",0,0.0,5,12.1,14
47,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,0,-0.4019,2,12.1,15
48,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,0,0.4588,4,8.3,21
49,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,1,0.0,2,13.2,11
50,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,0,0.0,0,14.6,21
51,"Maggie Hassan raised tuition, making it the highest in America.",0,0.0,2,9.0,10
52,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,0,0.0,1,8.9,16
53,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",1,-0.4588,2,14.1,31
54,"We have towns in West Texas that are out of water, that are having to truck in water.",0,0.0,2,5.4,18
55,"In Georgia, women earn 82 cents for every dollar earned by men.",1,0.0,2,5.0,12
56,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,1,0.0,3,14.9,32
57,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",0,0.4144,4,5.4,24
58,Sen. Obama's campaign announced that he's choosing his cabinet.,0,0.0,4,11.8,9
59,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",1,0.0,2,9.8,20
60,Only 2 percent of public high schools in the country offer PE classes.,0,0.0,1,6.1,13
61,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",1,0.0,5,14.0,13
62,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",1,0.5574,4,13.3,20
63,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",1,0.0,5,8.3,17
64,"Under Mayor Cicilline, [Providence] was a sanctuary city.",0,0.0,4,12.0,8
65,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,0,-0.5267,5,10.1,12
66,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",1,0.7269,2,15.8,21
67,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",0,0.0,4,9.8,24
68,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,0,0.0,4,12.0,17
69,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,0,0.0258,2,9.8,16
70,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",1,0.5719,4,12.0,21
71,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",0,-0.296,3,12.6,19
72,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",1,-0.5719,3,15.8,26
73,The only time in our history when the debt has been higher than this was the end of World War II.,1,-0.7506,1,6.4,21
74,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,1,0.128,2,10.7,16
75,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",1,-0.4939,4,6.2,20
76,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,0,0.5574,3,9.0,13
77,Says one out of three U.S. homeless men is a veteran.,0,0.0,3,2.5,11
78,Says Charlie Crist supports cuts to the Medicare Advantage program.,0,0.3182,1,10.9,10
79,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,1,-0.2732,3,17.4,33
80,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,1,-0.34,2,13.8,14
81,"At some point in their lives, 99% of women use birth control.",1,0.0,3,4.2,12
82,"In the past 20 years, Egypt has made great strides in political and democratic reform.",0,0.6249,2,8.7,15
83,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,0,0.2732,4,12.4,19
84,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,1,0.0,4,8.0,11
85,"In Rick Perrys Texas, we import nurses ... from other countries.",1,0.0,5,9.0,11
86,There is a federal criminal law that says its a crime to transport dentures across state lines.,1,-0.7845,1,9.0,17
87,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,1,-0.7003,1,12.4,23
88,"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",0,0.0,5,10.6,11
89,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,0,-0.4019,2,9.3,15
90,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",0,-0.296,4,6.8,11
91,I belong to the AFL-CIO.,1,0.0,2,-0.2,5
92,The insurance commissioner cant do squat about health care.,1,0.4939,1,9.8,9
93,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,1,0.0,3,10.2,21
94,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.",0,0.1779,2,14.7,23
95,Says David Jolly supports privatizing Social Security.,0,0.802,1,14.4,7
96,Did you know US population growth is at its lowest since the Great Depression?,1,0.1027,1,7.4,14
97,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",1,-0.1027,2,14.7,29
98,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",1,-0.9067,2,9.6,18
99,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,1,-0.25,1,18.3,35
100,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,0,-0.34,2,16.1,25
101,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",0,0.2732,3,13.1,21
102,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",1,-0.1531,4,9.3,18
103,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",1,-0.6597,5,18.5,32
104,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",0,-0.5574,6,5.8,34
105,Sen. Obama has always had a 100 percent prochoice rating.,1,0.0,2,6.2,10
106,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",1,0.0,4,14.9,24
107,The (federal) debt is growing by more than $4 billion a day.,1,-0.2023,4,3.8,12
108,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",1,-0.296,3,14.1,19
109,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",0,0.0,5,8.0,18
110,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,1,-0.4404,2,16.3,19
111,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",1,0.0,8,14.4,28
112,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",1,0.0,6,9.9,21
113,Says Obama promised unemployment would never go above 8 percent.,0,-0.1027,1,9.5,10
114,The economy is creating jobs at the fastest pace since 1999.,1,0.296,1,5.5,11
115,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,1,0.0,1,10.5,14
116,"In a majority of states, you can now marry freely, but can still be fired for who you love.",1,0.431,3,6.2,19
117,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,0,0.0,4,7.4,18
118,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",0,0.0,3,12.1,15
119,"About half of the presidents have been governors; half of them, senators.",0,0.0,3,8.9,12
120,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",1,-0.3612,6,12.2,18
121,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",1,0.0,3,9.0,15
122,Says 88 Texas constables have died in the line of duty.,1,-0.5574,1,3.3,11
123,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",1,-0.2732,4,7.5,13
124,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",1,0.4939,4,12.8,20
125,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",1,-0.7184,6,11.6,23
126,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,1,0.0,2,8.1,20
127,The Air Force wants taxpayers to fund a fantasy football league.,0,0.0,1,7.2,11
128,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,0,0.128,4,12.1,15
129,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,1,-0.4404,3,12.6,19
130,Some neighborhood schools are closing.,1,0.0,1,13.1,5
131,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,1,0.6486,1,11.6,19
132,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",1,0.0,2,13.1,17
133,"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.",0,0.296,2,7.8,17
134,Says the U.S. Supreme Court found that Social Security is not guaranteed.,1,0.7184,3,5.9,12
135,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,0,-0.6249,1,14.5,14
136,Oregonians have an amazing no-cost way to fight abortion with free political donations,1,0.6705,1,11.9,13
137,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",0,0.0,4,10.1,16
138,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",0,0.4019,2,17.0,27
139,Newt Gingrichs immigration plan offers a new doorway to amnesty.,1,0.0,1,9.5,10
140,Mr. Caprio is a career politician who has never worked in the private sector.,0,0.0,2,7.1,14
141,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",0,0.0,3,14.2,26
142,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",1,0.75,3,11.7,21
143,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,1,0.0,1,9.2,16
144,Donald Trump has said nuclear proliferation is OK.,1,0.4466,1,7.9,8
145,"Hillary Clinton has taken over $800,000 from lobbyists.",1,0.0,3,10.8,8
146,Barack Obama has never even worked in business.,0,0.0,1,6.1,8
147,Says the Arizona immigration law expressly bans racial profiling.,1,0.0,1,12.9,9
148,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,0,0.0,5,12.6,24
149,"On the VA: Over 300,000 veterans have died waiting for care.",0,-0.1027,3,5.5,11
150,Were now spending 42 percent of our economy on government.,1,0.0,1,6.6,10
151,Rob Cornilles supports privatizing Medicare.,0,-0.2732,1,18.8,5
152,"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.",0,0.3182,3,10.2,11
153,We (Democrats) have made steady progress creating jobs and improving our schools.,1,0.7783,3,12.0,12
154,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,0,-0.128,1,16.0,26
155,"Whether you like to admit it or not, half our general revenue goes to education.",1,0.5106,2,6.8,15
156,Im the only one whos fought against developers draining the Everglades!,0,-0.3802,1,10.2,11
157,Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,1,0.34,1,9.6,15
158,"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.",1,0.0,3,13.5,27
159,Climate change is directly related to the growth of terrorism.,0,-0.4588,1,8.5,10
160,The jobs bill includes President Obamas tax on soup kitchens,0,0.0,0,7.6,10
161,Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,0,0.0,3,13.4,16
162,While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,1,-0.0534,1,18.7,31
163,"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.",1,-0.1779,3,18.4,25
164,We have more illegal immigrants here than we did five years ago.,0,-0.5984,1,5.4,12
165,Says Rick Perry wrote a letter supporting Hillarycare.,0,0.4404,1,10.3,8
166,The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,0,-0.4019,3,13.8,14
167,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.",0,0.3818,3,19.8,27
168,(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,1,0.0,6,11.5,13
169,Says Chris Christie vetoed a jobs package of 30 bills.,1,0.0,1,4.8,10
170,There are already more American jobs in the solar industry than in coal mining.,1,0.0,1,7.8,14
171,Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,1,0.5267,2,18.8,27
172,Barack Obama is in an economy thats only worsened since hes been president of the United States.,1,-0.0258,1,9.3,17
173,"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",1,-0.5106,3,13.7,10
174,"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",1,-0.4404,4,10.2,34
175,Says Thomas Eric Duncan came into the United States with an elevated temperature.,0,0.4215,1,10.1,13
176,We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,1,-0.5994,1,10.1,22
177,Gas prices have gone up $2 since Obama took office.,1,0.0,2,3.4,10
178,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,1,-0.6597,1,10.6,17
179,Says judges get better benefits at a lower cost than everybody else in the state.,1,0.5106,1,7.1,15
180,There are a lot of casinos across the country that have gone bankrupt.,1,-0.5574,1,6.1,13
181,Small businesses create 70 percent of the jobs in America.,1,0.2732,1,6.6,10
182,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",1,0.7693,2,12.7,18
183,"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",1,-0.4767,3,5.8,17
184,If Texas were a country our economy would rank # 10...in the WORLD.,1,0.0,5,6.1,13
185,There are more oil rigs in operation in the United States than the rest of the world combined.,0,0.4215,1,7.7,18
186,"Payday lenders profit from the poor by charging 1,000-plus percent interest.",1,0.4215,3,12.3,11
187,"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",1,0.7783,5,10.0,37
188,It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,1,-0.3597,2,15.8,30
189,The Obama administration shut down the Amber Alert program because of the government shutdown.,0,0.296,1,12.8,14
190,The Republicans have 2 percent of the Muslim vote.,1,0.0,1,5.1,9
191,"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",1,-0.2714,4,15.3,24
192,"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.",0,-0.6151,5,9.8,37
193,"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",1,-0.2732,6,15.3,27
194,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.",1,-0.296,3,4.4,19
195,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,1,-0.5267,1,13.8,19
196,"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",0,0.0,12,5.2,35
197,Not one Republican has the guts to recognize that climate change is real.,0,0.0,1,7.2,13
198,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",1,-0.1027,2,8.4,19
199,David Dewhurst has a record of promoting an income tax.,0,0.3612,1,5.2,10
200,Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,1,0.5106,1,12.6,19
201,"In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.",0,-0.5994,4,7.1,25
202,"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.",0,-0.6705,6,9.4,14
203,The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.,0,-0.5267,1,11.0,26
204,Says Obama health reform law denies millions access to affordable insurance.,0,-0.4215,1,12.3,11
205,Says HB2 hasnt moved the needle one iota on North Carolinas economy.,0,0.0,1,6.9,12
206,Close to 30% of our federal prison population consists of illegal immigrants.,0,-0.7845,2,10.5,12
207,Says Rick Scott called education not a core function of the state.,0,0.0,1,6.1,12
208,"The Family Research Council, according to some government agencies, is a terrorist group.",0,-0.6908,3,13.0,13
209,"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.",1,0.4939,3,9.6,16
210,Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,1,0.5267,2,7.6,22
211,Obamacare is the biggest tax increase in American history.,0,0.3182,1,9.3,9
212,You ... said that Barack Obama was not ready to be commander in chief.,1,-0.2755,4,5.7,14
213,"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically.",1,0.0,4,10.6,18
214,Milwaukee Mayor Tom Barrett has held the line on property taxes.,0,0.0,1,7.2,11
215,Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,1,0.0,2,14.2,27
216,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.",1,0.4019,2,14.0,21
217,Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,0,-0.7144,2,5.0,17
218,"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.",1,-0.1779,3,8.4,21
219,On how money from a possible lease of the Ohio Turnpike would be used,1,0.0,0,4.4,14
220,"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.",1,-0.4019,10,6.3,42
221,"The president has had 1,540 of his nominations confirmed, only four defeated.",1,-0.4767,3,10.5,12
222,U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.,1,-0.4588,3,7.7,15
223,"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront.",0,-0.2263,5,11.5,30
224,There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.,1,0.5267,1,16.2,21
225,"Democratic presidents ""have been considerably more effective at creating private-sector jobs.""",1,0.7299,4,20.1,11
226,"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.""",1,-0.5994,5,3.6,17
227,Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed.,0,0.3182,1,10.6,17
228,One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.,1,0.0,2,6.9,25
229,"Military ""recruiting went on at Harvard every single day throughout the time (Kagan) was there.""",1,0.0,5,11.8,15
230,"Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%.",1,-0.2732,3,7.4,15
231,"Says David Perdue wants to abolish the U.S. Department of Education, which would cost Georgia schools $1 billion a year and eliminate millions in student loans.",1,0.0,5,9.5,26
232,The Paul Ryan budget proposal would privatize Medicare.,1,0.0,1,10.8,8
233,High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court.,1,-0.4767,1,13.5,25
234,The United States imprisons more than any nation in the world.,1,0.4215,1,6.3,11
235,Says Marco Rubio is the one for an open border.,0,0.0,1,1.5,10
236,"...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat.",1,0.0,6,10.9,17
237,Says cuts to Medicare affect people who have already paid in. We paid for it.,0,-0.296,2,2.1,15
238,David Alameel is giving thousands of dollars to support the Republican Party candidates including John Cornyn and Greg Abbott.,0,0.7783,1,14.8,19
239,The American healthcare system burns 18 percent of our national GDP. Nobody else is close.,1,0.0,2,6.2,15
240,Providences port is 200 miles closer to Europe than any other Eastern port.,0,0.0,1,7.9,13
241,Says you need a photo ID to purchase Sudafed in Texas.,1,0.0,1,2.9,11
242,Twenty percent of housing in Portlands Pearl District is affordable.,1,0.0,1,11.4,10
243,"Says allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012.",1,0.4019,2,11.4,18
244,Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.,1,0.0,2,11.9,13
245,Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.,1,0.3818,4,14.3,16
246,"Obama's budget plan would take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent.",1,-0.6808,8,9.3,23
247,Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on.,0,-0.0258,3,8.8,20
248,We now have driven (health care) costs down to the lowest theyve been in 50 years.,0,-0.3818,3,6.3,16
249,"President Barack Obama's ""initial response when we heard about the Christmas underwear bomber"" was to say that ""this was the act of an isolated extremist.""",1,-0.3182,6,15.8,25
250,"Says Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes, (he) now claims that his stimulus bill didnt do enough to lower taxes.",1,-0.8519,6,21.8,36
251,"In the 1950s, ""A lot of people got rich and they had to pay a top tax rate of 90 percent.""",1,0.6124,4,4.8,21
252,"The Charleston, S.C., shootershould have never been given a gun, but the universal background check was not fast enough.",1,0.1326,6,13.4,19
253,Sixty-five percent of the Iraqi people now say it's okay to shoot an American soldier.,0,-0.128,3,8.7,15
254,Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.,0,0.5994,1,15.3,24
255,Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.,1,0.3612,2,11.8,25
256,Warren (Buffett) still does support me.,1,0.4019,3,8.3,6
257,Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.,1,0.0,1,10.1,16
258,A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!,0,0.0,6,14.9,21
259,"About 230,000 people that were on unemployment when I took office are not on unemployment now.",1,-0.7003,2,9.8,16
260,"One person, Kathleen Sebelius, was going to determine whether or not 10-year-old lung patient Sarah Murnaghan would live or die.",0,-0.5994,5,14.2,20
261,Ron Klein repeatedly voted in favor of amnesty for illegal immigrants.,0,-0.2263,1,9.7,11
262,Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.,0,0.296,6,12.5,19
