,statement,label,id
100,"The delay inschool testingwas not that of a vendor, the problem was not that of the test materials itself,it was the product of a cyber attack.",0,980
101,"Democrats already agreed to a deal that Republicans wanted, that Eric Cantor said would be a win.",1,981
102,One of the main functions of the Department of Homeland Securitys SAVE database is checking voter registration citizenship status.,0,982
103,"Eight of the nine justices in the Supreme Court decision (on campaign finance) said that not only is it constitutional for Congress to require disclosure of the special interest money, but they recommend we do it.",1,983
104,"The reality is, we are holding some of the most dangerous terrorists in the world right now in our federal prisons, including the mastermind of the 1993 World Trade Center bombing, the 'shoe bomber,' the 'Unabomber,' and many others.",1,984
105,Barack Obama is the First President to terminate Americas ability to put a man in space.,0,985
106,Says George Washington said a free people should be armed to guard against government tyranny.,0,986
107,"Under the new and little known 'global justice' initiative, the Obama administration has ordered FBI agents to ""read Miranda Rights to high-value terrorist detainees captured on the battlefield.""",1,987
108,Wholly domestic communication between you and your wife can go to New York to London and back and get caught up in the (NSA) database.,1,988
109,"Says for every dollar the state spent on audits last year, it delivered $64 in cost savings.",1,989
110,"When I was governor, not only did test scores improve we also narrowed the achievement gap.",1,990
111,Georgia is nearly 50 percent Democratic and (the Republican majority) diminished our voting strength to 32 percent through gerrymandered maps.,1,991
112,Says a Republican hasnt won [an election] for a presidency in New Jersey since 1988.,1,992
113,"40 percent of illegal immigrants had a visa and then became illegal, mostly because they changed jobs.",1,993
114,Says Ted Cruz slurred Republican senators including John Cornyn as graybeards and spineless jellyfish.,1,994
115,Says Mary Landrieu voted to fund benefits for illegal immigrants ahead of veterans.,0,995
116,"Despite having their budget increased by over 40 percent since 2009 pending claims for benefits with the (Department of Veterans Affairs) have increased from 391,000 to 890,000 under the Obama Administration.",1,996
117,"U.S. Rep. John Barrow, D-Ga., does not want to audit the Federal Reserve.",0,997
118,This unit is the only one in the state that strives to implement the principles of Mother-Friendly care as outlined by the national Coalition for Improving Maternity Services Mother-Friendly Childbirth Initiative.,0,998
119,I am going to be on the ballot in all 50 states. There is no other third-party candidate thats going to come close to achieving that.,1,999
120,"After World War II, we tried, convicted, and, in some cases, executed Japanese soldiers for war crimes that included charges of waterboarding.",1,1000
121,Says Gov. Scott Walker approved a gutting of two tax credits that help the poor and elderly.,0,1001
122,Ken Bucks (District Attorneys) office? His spending skyrocketed by 40 percent.,1,1002
123,"The photonics bill that was sponsored in Congress and written, was written by Congressman Tom Reed, not Congresswoman Louise Slaughter.",0,1003
124,"McCain ""said he was 'stumped' when asked whether contraceptives help stop the spread of HIV.""",1,1004
125,Says most Texas schools spend 45 out of 180 school days in mandated testing.,0,1005
126,Tell me what Madeleine Albrights position was on the War on Iraq. I wouldnt be surprised if she supported it.,0,1006
127,On the propriety of budget reconciliation.,1,1007
128,We were the last flag flying in Benghazi.,0,1008
129,Says legislation pending in the House would effectively limit or eliminate time-and-a-half for people who work overtime.,1,1009
130,The American people will not support doing anything about people that are in this country illegally until the law is enforced first.,0,1010
131,The cost for renovating the headquarters of the U.N. has doubled from the original estimate.,1,1011
132,"Mitt Romney is proposing a tax plan that would give millionaires another tax break and raises taxes on middle class families by up to $2,000 a year.",1,1012
133,There have been three people tried and convicted by the last administration in military courts. Two are walking the street right now.,1,1013
134,Medicare insurance premiums will be rising to $120.20 per month in 2013 and $247.00 per month in 2014.,0,1014
135,The NCAA will get billions from the mens basketball tournament. Players get a trophy.,1,1015
136,The budget currently being debated significantly decreases the use of one-time resources.,1,1016
137,Damage by protesters to the Wisconsin state Capitol will cost $7.5 million to repair.,0,1017
138,Americans work way more than an average of industrialized countries around the world.,1,1018
139,"Says Ted Strickland in this campaign bragged about his A-plus rating with the NRA. ... He has said he has a mixed and spotty record on this issue and that he can be criticized for it. Those are his words, not mine. So I dont know where he is on this issue.",1,1019
140,Says new Medicare billing guidelines have nine codes for (injuries by) turkeys.,1,1020
141,Says Virginia Del. Mark Cole wants schools to check childrens genitals before using bathroom.,0,1021
142,A monthly police and fire protection fee on all Wisconsin phone bills does nothing to support police and fire.,0,1022
143,Illegal immigration wasnt a subject that was on anybodys mind until I brought it up at my announcement.,0,1023
144,One man opposed a flawed strategy in Iraq. One man had the courage to call for change. One man didn't play politics with the truth.,1,1024
145,I never had a filibuster-proof Senate.,1,1025
146,Pregnant women who stand for five to six hours at a time increase their risk of pre-term pregnancy by 80 percent.,0,1026
147,"Says 100,000 are on waiting list to attend Texas charter schools.",1,1027
148,The new Ukrainian government introduced a law abolishing the use of languages other than Ukrainian in official circumstances.,1,1028
149,Chemical weapons have been used probably 20 times since the Persian Gulf War.,0,1029
150,"The Senate immigration bill has immediate legalization ... and the border security is sometime in the future, and just like in 1986, its designed never to come into being.",0,1030
151,Nearly half of African-American children under the age of 6 are living in abject poverty.,1,1031
152,Eric Holder is supportive of the NAACPs efforts to get the United Nations involved in our elections.,0,1032
153,"In Wisconsin, teachers make $89,000 in salary and benefits, compared to $48,000 for all other workers in the United States.",0,1033
154,"During the last five years, Iran has perpetrated terror attacks in 25 different countries on five continents.",1,1034
155,"President Obama has left the U.S. with the lowest number of active-duty troops since before World War II, putting the nation at risk.",1,1035
156,Say Michelle Obama mandates weighing children in day care.,0,1036
157,On high-speed rail.,0,1037
158,Every student paying out-of-state tuition actually covers more than the cost of instruction.,1,1038
159,The Georgia Department of Education has implemented a new policy beginning in August that states that public schools will no longer accept credits from home school entities or non-traditional education centers.,1,1039
160,"Says its not possible for some Wisconsin residents to watch Packers games, theyre forced to watch Viking games, so he got a law passed to fix the problem.",0,1040
161,"Democratic Sens. Ed Markey, Al Franken and Jeanne Shaheen took Bribes From Iran They Back Insane NUKE Deal.",0,1041
162,President Barack Obamas latest executive order mandates the apprehension and detention of Americans who merely show signs of respiratory illness.,0,1042
163,The Milwaukee County sheriffs department plays only a limited role as a traditional law enforcement agency and in 2009 reported far fewer crimes to the FBI than the University of Wisconsin-Milwaukee police did.,1,1043
164,Obama Makes Huge Move to BAN Social Security Recipients From Owning Guns,0,1044
165,I never supported a state income tax for Texas.,0,1045
166,"Unlike virtually every other campaign, we dont have a super PAC.",1,1046
167,"Within just a few years, immigration as a share of national population is set to break all historical records.",1,1047
168,"Ed Gillespies firm even lobbied for five foreign governments, including a dictator now awaiting trial for war crimes.",1,1048
169,"We have a system now where in 40 states, the highest-paid public employee is the state universitys head football or basketball coach.",1,1049
170,"Because of violence spreading from Mexico, youve got bullets hitting the city hall in El Paso. Youve got bombs exploding in El Paso.",1,1050
171,Decriminalizing marijuana will save the state anywhere from $4 (million) to $11 million dollars.,0,1051
172,Says there are concrete examples of University of Texas job applicants or prospective applicants and students as well as invited speakers changing their minds because of handguns being allowed in campus buildings and classrooms.,1,1052
173,The Massachusetts health care plan is wildly unpopular among state residents.,0,1053
174,The IRS scandal clearly showed some criminal behavior.,0,1054
175,TSA WILL ACCEPT DRIVERS PRIV CARDS FOR ID AT THE AIRPORT,1,1055
176,"Forty percent of people in this country, illegally, are overstaying visas.",1,1056
177,Says Lee Fisher wanted a $1.1 billion tax increase which could have driven countless jobs out of state.,1,1057
178,Scientists project that the Arctic will be ice-free in the summer of 2013.,0,1058
179,Ilana Shafran Mandels stake in Forest City Enterprises constitutes significantly less than 1 percent of the companys shares and any implication of a conflict of interest is legally incorrect.,1,1059
180,"When White House communications director Anita Dunn said that Mao Tse-tung was one of her favorite philosophers, only Fox News picked that up.",0,1060
181,Says only about 250 Texans have been killed in action since 9/11.,0,1061
182,Super Bowl L by everybodys estimation is a $500 million economic impact to the state of Florida.,0,1062
183,"The number of illegal immigrants in the United States is 30 million, it could be 34 million.",0,1063
184,You cannot build a little guy up by tearing a big guy down -- Abraham Lincoln said it.,0,1064
185,"Last year, Beaverton School District had the highest number of homeless students ever recorded in Oregon.",0,1065
186,The state budget has increased almost $800 million a year in each of the last two years.,1,1066
187,"In the past 10 years, our (Austin) water rates have increased by 100 percent and we now have the highest water cost of the top 10 cities in Texas.",1,1067
188,"Says in this next biennium, the cost of primary and secondary education is going to increase by more that $1000 per student. Half of that $1000 $500 per student is accounted for by the increased cost of PERS alone.",1,1068
189,Says Hillary Clinton is the one that labeled African-American youth as superpredators.,1,1069
190,"The insurance companies are making that choice (to cancel or change policies), not the president.",0,1070
191,"Ezekiel Emanuel, one of President Obama's key health care advisers, says medical care should be reserved for the nondisabled. So watch out if you're disabled.",0,1071
192,On whether state employees should contribute to their pensions.,0,1072
193,Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them.,0,1073
194,"Says Mitt Romney, as governor of Massachusetts, put into place socialized medicine.",0,1074
195,The same federal government that offers some money for a program is walking away from another health care program.,1,1075
196,I didnt try to push a bill to reduce lottery scholarship proceeds for students.,0,1076
197,The Confederate battle flag in South Carolina was first flown at the statehouse in 1961.It was flown as a symbol of massive resistance to racial desegregation.,1,1077
198,"Several times, Obama has apologized for what he deems to be American arrogance, dismissiveness, and derision; for dictating solutions, for acting unilaterally ... .",0,1078
199,Some even advocate wiping out 401(k)s entirely and replacing them with government-run accounts.,0,1079
200,"In 2000, I wrote about Osama bin Laden, Weve got to take him out.",0,1080
201,I ended up my time as governor with a general fund budget that was smaller than the one I started with.,1,1081
202,A friends sister died from Obamacare becauseBlue Shield completely just pulled out of California.,0,1082
203,Obamacare includes a $63 charge every American will begin paying (in 2013) as a way to cover some of the increased costs associated with providing health insurance to those with pre-existing conditions.,0,1083
204,"Forty years ago ... about half of congressional districts were genuinely competitive. Today, only about 10 percent of House races on Cook Political Report are listed as toss-ups or lean to one party.",1,1084
205,"When the national debt reaches $15 trillion, it means that U.S. debt-to-GDP ratio will reach 99.7 percent of our debt and this is $47,900 for every living American.",1,1085
206,Most Americans are ready to put it [marijuana prohibition] behind us and move on.,1,1086
207,Obama tells Russia that hell turn over Americas defense system to them if re-elected.,0,1087
208,The National Technical Information Service spends millions of taxpayer dollars to print and sell government documents that are available free in online searches.,1,1088
209,Says Bill Young voted twice for the Ryan budget that ends the current Medicare system.,1,1089
210,I kicked crooked cops and government officials off the public pension rolls.,0,1090
211,"Romney left Massachusetts ""with a $245-million debt because of the big government-mandated health care system.""",0,1091
212,Repealing and replacing Obamacare thats going to save $1 trillion over a 10-year period.,0,1092
213,The Georgia Legislatures last day of session ends at midnight.,0,1093
214,"The brutal fact is, when it comes to education, America is slipping behind other nations.",0,1094
215,I always supported civil unions.,0,1095
216,"Because Gov. Chris Christie vetoed a 30-bill job creation package, New Jersey ranks 50th in the nation in job creation.",0,1096
217,A poll taken a few months ago found 70 percent approval or higher for the Act 10 collective bargaining law.,0,1097
218,Sherrod Brown gave huge bonuses to executives.,0,1098
219,Unfortunately everyone needs to cut back in these tough economic times. Thats why I voted to cut my own pay along with the pay of our state employees.,0,1099
220,"Says Donald Trump thinks that climate change is a hoax, invented by the Chinese.",1,1100
221,Polls show Bernie Sanders would do better than Hillary Clinton in a head-to-head battle against Donald Trump.,1,1101
222,Increasing the bottle deposit to 10 cents on a case of water bottles could literally double the price of that product in the store.,0,1102
223,"What difference, at this point, does it make? I am the guy that got under her skin and provoked that infamous response from Hillary Clinton by asking a pretty simple question, Why didnt you just pick up the phone and call the survivors (of the Benghazi attack)?",1,1103
224,Kasim Reed has kept every promise he made as a candidate.,1,1104
225,Wisconsins laws ranked the worst in the world for mining investment.,0,1105
226,More people now die in Wisconsin from drug overdoses than car crashes.,1,1106
227,"In Connecticut and New York, students at Achievement First schools consistently outperform city and statewide averages.",1,1107
228,"Rick Scotts prison plan would cut Floridas prison budget in half, close prisons, and release tens of thousands of prisoners early -- murderers, rapists, sex offenders, armed robbers, drug dealers.",0,1108
229,"Obama's one education accomplishment was ""legislation to teach 'comprehensive sex education' to kindergartners.""",0,1109
230,"Forcing Americans off of their current health coverage and onto a government-run plan isn't the answer, but that's exactly what the Democrats' plan would do.",0,1110
231,"During the Monica Lewinsky scandal, the Clintons brought the Rev. Jeremiah Wright to the White House for ""spiritual counseling.""",0,1111
232,Only 14 percent of Americans were able to keep these individual market plans for two years before Obamacare became law.,1,1112
233,"Never mind that no red light camera, no speed camera, nor any radar gun has ever stopped one accident from occurring.",0,1113
234,"Only five states, including Georgia, do not have a hate crimes law.",1,1114
235,Marcy Kaptur voted against a ban which would have prevented the aborting of a baby girl for the sole reason that shes a girl.,1,1115
236,The Health Care Compact bill would end Medicares guaranteed benefit for Tennessees Medicare recipients and shift management of the federal health care plan to the states TennCare program.,0,1116
237,"Barack Obama supported keeping troops in Iraq, but now he wants a ""precipitous withdrawal"" regardless of ""conditions on the ground"" or ""consequences of a defeat for the United States,"" an RNC radio ad.",1,1117
238,"When Mitt Romney was governor, Massachusetts lost 40,000 manufacturing jobs, a rate twice the national average, and fell to 47th in job creation, fourth from the bottom.",1,1118
239,Barack Obama is only the second Democrat in the last 75 years to win Ohio twice with more than 50 percent of the vote.,1,1119
240,ISIS is going to people showing videos of Donald Trump insulting Islam and Muslims in order to recruit more radical jihadists.,0,1120
241,"The musical Mamma Mia! has ""been selling out for years.""",1,1121
242,"The Bush administration's latest plans for troop withdrawal from Iraq by 2011 are ""more or less the same time frame I announced two years ago.""",1,1122
243,Chris Christie has not been effective at creating jobs (or have) a record of governing for effectiveness. ... New Jersey (has) one of the higher unemployment rates in the country at 9.4 percent.,1,1123
244,Barack Obama refuses to acknowledge Jerusalem as the capital of Israel.,1,1124
245,I created the school choice program.,1,1125
246,Nearly 25 percent of all automobile accidents are caused by texting while driving.,0,1126
247,"The reality is, with a $2 trillion-a-year health care budget, we're spending more on health care, nearly 17 percent of our gross domestic product, versus 3.8 percent of GDP on the entire military budget.",0,1127
248,Bernie Sanders admits he is a Democratic Socialist. Nazis were Democratic Socialists.,0,1128
249,We have four combat-ready brigades out of 40 in the U.S. Army.,0,1129
250,"Every time the weight of that vehicle is reduced by a hundred pounds, your chances of dying are going to go up by about 5 percent. Peel three hundred pounds off youre 15 percent more likely to die in that car.",0,1130
251,Says hesso bipartisan that 12 of my bills were signed into law by Democratic President Bill Clinton.,1,1131
252,I still live in the same working-class neighborhood I grew up in.,1,1132
253,"Im running against a groundhog. He saw his shadow on the primary day, and no one has seen him since.",0,1133
254,"Says British voters under 50, especially millennials, overwhelmingly voted to stay, in the European Union. It was older voters who voted to leave.",1,1134
255,Fundamental changes made to the language describing the Wisconsin Idea in the University of Wisconsin Systems mission statement were the result of a drafting error.,0,1135
256,Financed the largest parking expansion program without a rate increase.,0,1136
257,"Says Jeb Bush and Marco Rubio had it set so that the winner takes everything, because they wanted to make sure that I didnt get anything in the Florida primary.",0,1137
258,4.7 million people have lost their insurance in 32 states due to Obamacare.,0,1138
259,The average family premium has increased by 29% under Obama!,1,1139
260,"On Medicare for current retirees, hes cutting $716 billion from the program.",1,1140
261,Sen. Marco Rubio refuses to accept the basic science on climate change and is a climate change denier.,1,1141
262,There are 10 or 20 deaths a year from foodborne illness in the United States.,0,1142
263,"Says when Republicans took over the state legislature in 2010, New Hampshires tax rate for employers was 50th in the nation, and unemployment had more than doubled under Democrats.",1,1143
264,About 1 in 10 public school teachers in Wisconsin would have been laid off without federal stimulus funds.,0,1144
265,CNN accidentally aired 30 minutes of pornography in Boston on Thanksgiving night.,0,1145
266,"Bill McCollum voted four times to raise his own pay, by a total of $51,000, and earns a congressional pension worth more than $75,000 a year.",1,1146
267,"The signers of the Declaration of Independence were ""brave people, most of whom, by the way, were clergymen.""",0,1147
268,"Says Donna Campbell is pushing a 35 percent sales tax extending to medicine, groceries and real estate.",0,1148
269,Over 40 percent of children born in America are born out of wedlock.,1,1149
270,"We're borrowing money from China and Saudi Arabia ""to finance this war"" in Iraq.",1,1150
271,"Says that in his first two years, Wisconsin has seen its best two-year job growth in a decade.",0,1151
272,"In 45 out of 50 states, on average men are seeing their premiums double, going up 99 percent. Women up 62 percent.",0,1152
273,Georgia is the second-fastest growing state for international tourists.,1,1153
274,"When I left the Senate, we were on a trajectory towards a balanced budget.",1,1154
275,"Guess what, governor? Theres no fried butter in Newark. Just 13 percent unemployment.",1,1155
276,Says Republican-approved changes to make it more difficult to participate in Ohio elections include reducing in-person early voting from 35 days to six.,1,1156
277,High-speed rail would have cost Florida taxpayers $1 billion to build.,0,1157
278,"Between 2000 and 2006, health insurance company profits quadrupled.",1,1158
279,Says One-third of our healthcare dollars go to wasteful insurance billing and bureaucracy.,1,1159
280,"Obama, instead of nominating a health professional, he nominated someone who is an anti-gun activist (for surgeon general).",0,1160
281,Black people are eight times more likely to be arrested than white people in Madison.,1,1161
282,"For the first time in history, the Democratic Congress will not allow an increase in the social security COLA (cost of living adjustment).",0,1162
283,"Says Ted Cruz said, There is no place for gays or atheists in my America. None. Our Constitution makes that clear.",0,1163
284,We spend more on our military than the next eight nations combined.,1,1164
285,"Says Cape May, Cumberland, Salem and part of Atlantic counties are all south of the Mason-Dixon line.",0,1165
286,"Says Republican opponent Jason Isaac is peddling a plan meaning Texans would pay the highest sales taxes in America, up to 14.5 percent.",0,1166
287,David Dewhurst currently owes more than $1 million to vendors for services provided to his 2012 U.S. Senate campaign.,1,1167
288,Says Rick Perry supported a guest worker program to help people who would otherwise be illegal aliens.,1,1168
289,"On climate change, the temperature readings have been fabricated, and its all blowing up in their (scientists) faces.",0,1169
290,Republicans created a trillion dollar prescription drug entitlement program without paying for it.,1,1170
291,Test scores had gone up steadily for 40 years until No Child Left Behind and Race to the Top.,0,1171
292,Warren Buffett says stop Obamacare now and start over.,0,1172
293,"When you add a dollar value to mandates, government took almost 50 percent of the American peoples money.",0,1173
294,"In Florida, theyre already talking about how the Ryan-Romney plan will end Medicare and replace it with a voucher.",0,1174
295,I opposed the only multilateral trade deal that came before the Senate while I was there.,1,1175
296,Says Ohios Issue 2 will create a redistricting commission that will have a blank check to spend our money.,0,1176
297,"Andrew Jackson was the last president who actually balanced the federal budget, where we had no national debt.",1,1177
298,"Sarah Palin endorsed a Wasilla policy that charged sexual assault victims for their ""rape kits.""",1,1178
299,One-third of our college grads leave Ohio within three years.,1,1179
300,Says Gwen Graham was a Washington lobbyist.,0,1180
301,Theres no data that says a gun-free zone has saved lives.,1,1181
302,"On support for Trade Promotion Authority, calledfast-track",0,1182
303,Republicans have already cut our neighborhood public schools three budgets in a row.,0,1183
304,Says David Jolly lobbied for government-run health care just last year.,0,1184
305,"The Chilean privatization scheme that Sharron Angle supports has resulted in hidden fees, fewer benefits, and millions of people with no coverage.",0,1185
306,"The Dolphins stadium renovation will create more than 4,000 new local jobs.",1,1186
307,Says the state budget doubled property tax credits for seniors and middle class New Jerseyans and had no tax increases for any New Jersey family for the second year in a row.,1,1187
308,"In June 2012 we actually had more people go on Social Security Disability [85,000] ... than the 80,000 jobs that were created.",1,1188
309,"Between June 30 and July 10, CNN interviewed 17 Israeli public officials versus onePalestinian official.",1,1189
310,The poverty rates in America today arent much better than when we started the War on Poverty.,1,1190
311,Says his sons were targeted on Facebook by out-of-state protesters.,1,1191
312,"The Republican who was just elected governor of the great state of Florida paid his campaign staffers, not with money, but with American Express gift cards.",1,1192
313,Marco Rubio tried to insert $1.5 million for a rowing institute into the state budget.,0,1193
