,statement,label,SentimentScore,CountPunc,Readability,CountWord
134,Medicare insurance premiums will be rising to $120.20 per month in 2013 and $247.00 per month in 2014.,0,0.0,5,9.8,18
135,The NCAA will get billions from the mens basketball tournament. Players get a trophy.,1,0.0,2,6.3,14
136,The budget currently being debated significantly decreases the use of one-time resources.,1,0.0,2,15.2,12
137,Damage by protesters to the Wisconsin state Capitol will cost $7.5 million to repair.,0,-0.6249,3,9.8,14
138,Americans work way more than an average of industrialized countries around the world.,1,0.0,1,11.5,13
139,"Says Ted Strickland in this campaign bragged about his A-plus rating with the NRA. ... He has said he has a mixed and spotty record on this issue and that he can be criticized for it. Those are his words, not mine. So I dont know where he is on this issue.",1,-0.3612,9,3.9,52
140,Says new Medicare billing guidelines have nine codes for (injuries by) turkeys.,1,0.0,3,11.3,12
141,Says Virginia Del. Mark Cole wants schools to check childrens genitals before using bathroom.,0,0.0,2,9.0,14
142,A monthly police and fire protection fee on all Wisconsin phone bills does nothing to support police and fire.,0,-0.7234,1,10.9,19
143,Illegal immigration wasnt a subject that was on anybodys mind until I brought it up at my announcement.,0,-0.5574,1,10.1,18
144,One man opposed a flawed strategy in Iraq. One man had the courage to call for change. One man didn't play politics with the truth.,1,0.5368,4,2.9,25
145,I never had a filibuster-proof Senate.,1,0.0,2,7.5,6
146,Pregnant women who stand for five to six hours at a time increase their risk of pre-term pregnancy by 80 percent.,0,0.0516,2,9.9,21
147,"Says 100,000 are on waiting list to attend Texas charter schools.",1,0.0,2,7.6,11
148,The new Ukrainian government introduced a law abolishing the use of languages other than Ukrainian in official circumstances.,1,0.0,1,15.8,18
149,Chemical weapons have been used probably 20 times since the Persian Gulf War.,0,-0.7783,1,8.6,13
150,"The Senate immigration bill has immediate legalization ... and the border security is sometime in the future, and just like in 1986, its designed never to come into being.",0,0.5994,6,16.6,29
151,Nearly half of African-American children under the age of 6 are living in abject poverty.,1,-0.5106,2,9.6,15
152,Eric Holder is supportive of the NAACPs efforts to get the United Nations involved in our elections.,0,0.6124,1,10.3,17
153,"In Wisconsin, teachers make $89,000 in salary and benefits, compared to $48,000 for all other workers in the United States.",0,0.6597,7,13.1,20
154,"During the last five years, Iran has perpetrated terror attacks in 25 different countries on five continents.",1,-0.743,2,12.8,17
155,"President Obama has left the U.S. with the lowest number of active-duty troops since before World War II, putting the nation at risk.",1,-0.8074,5,12.8,23
156,Say Michelle Obama mandates weighing children in day care.,0,0.4939,1,9.3,9
157,On high-speed rail.,0,0.0,2,6.8,3
158,Every student paying out-of-state tuition actually covers more than the cost of instruction.,1,0.0,3,14.0,13
159,The Georgia Department of Education has implemented a new policy beginning in August that states that public schools will no longer accept credits from home school entities or non-traditional education centers.,1,0.4404,2,21.4,31
160,"Says its not possible for some Wisconsin residents to watch Packers games, theyre forced to watch Viking games, so he got a law passed to fix the problem.",0,-0.6908,3,14.0,28
161,"Democratic Sens. Ed Markey, Al Franken and Jeanne Shaheen took Bribes From Iran They Back Insane NUKE Deal.",0,-0.4019,3,11.1,18
162,President Barack Obamas latest executive order mandates the apprehension and detention of Americans who merely show signs of respiratory illness.,0,-0.8074,1,18.2,20
163,The Milwaukee County sheriffs department plays only a limited role as a traditional law enforcement agency and in 2009 reported far fewer crimes to the FBI than the University of Wisconsin-Milwaukee police did.,1,0.0258,2,20.5,33
164,Obama Makes Huge Move to BAN Social Security Recipients From Owning Guns,0,-0.1613,0,8.5,12
165,I never supported a state income tax for Texas.,0,-0.2411,1,3.5,9
166,"Unlike virtually every other campaign, we dont have a super PAC.",1,-0.4847,2,7.2,11
167,"Within just a few years, immigration as a share of national population is set to break all historical records.",1,0.296,2,10.9,19
168,"Ed Gillespies firm even lobbied for five foreign governments, including a dictator now awaiting trial for war crimes.",1,-0.5994,2,13.8,18
169,"We have a system now where in 40 states, the highest-paid public employee is the state universitys head football or basketball coach.",1,0.0,3,13.5,22
170,"Because of violence spreading from Mexico, youve got bullets hitting the city hall in El Paso. Youve got bombs exploding in El Paso.",1,-0.6249,3,6.8,23
171,Decriminalizing marijuana will save the state anywhere from $4 (million) to $11 million dollars.,0,0.4939,5,13.5,14
172,Says there are concrete examples of University of Texas job applicants or prospective applicants and students as well as invited speakers changing their minds because of handguns being allowed in campus buildings and classrooms.,1,0.2732,1,22.6,34
173,The Massachusetts health care plan is wildly unpopular among state residents.,0,0.4939,1,12.8,11
174,The IRS scandal clearly showed some criminal behavior.,0,-0.5574,1,10.3,8
175,TSA WILL ACCEPT DRIVERS PRIV CARDS FOR ID AT THE AIRPORT,1,0.3818,0,3.8,11
176,"Forty percent of people in this country, illegally, are overstaying visas.",1,0.0,3,11.5,11
177,Says Lee Fisher wanted a $1.1 billion tax increase which could have driven countless jobs out of state.,1,0.3182,3,10.1,18
178,Scientists project that the Arctic will be ice-free in the summer of 2013.,0,0.0,2,7.5,13
179,Ilana Shafran Mandels stake in Forest City Enterprises constitutes significantly less than 1 percent of the companys shares and any implication of a conflict of interest is legally incorrect.,1,0.5106,1,19.5,29
180,"When White House communications director Anita Dunn said that Mao Tse-tung was one of her favorite philosophers, only Fox News picked that up.",0,0.4588,3,14.7,23
181,Says only about 250 Texans have been killed in action since 9/11.,0,-0.6705,2,5.8,12
182,Super Bowl L by everybodys estimation is a $500 million economic impact to the state of Florida.,0,0.5994,2,9.3,17
183,"The number of illegal immigrants in the United States is 30 million, it could be 34 million.",0,-0.128,2,8.1,17
184,You cannot build a little guy up by tearing a big guy down -- Abraham Lincoln said it.,0,0.0,3,6.2,18
185,"Last year, Beaverton School District had the highest number of homeless students ever recorded in Oregon.",0,0.0772,2,13.1,16
186,The state budget has increased almost $800 million a year in each of the last two years.,1,0.2732,2,7.0,17
187,"In the past 10 years, our (Austin) water rates have increased by 100 percent and we now have the highest water cost of the top 10 cities in Texas.",1,0.4404,4,12.2,29
188,"Says in this next biennium, the cost of primary and secondary education is going to increase by more that $1000 per student. Half of that $1000 $500 per student is accounted for by the increased cost of PERS alone.",1,0.34,6,9.6,39
189,Says Hillary Clinton is the one that labeled African-American youth as superpredators.,1,0.0,2,14.0,12
190,"The insurance companies are making that choice (to cancel or change policies), not the president.",0,-0.25,4,12.1,15
191,"Ezekiel Emanuel, one of President Obama's key health care advisers, says medical care should be reserved for the nondisabled. So watch out if you're disabled.",0,0.7506,6,10.1,25
192,On whether state employees should contribute to their pensions.,0,0.0,1,11.8,9
193,Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them.,0,0.3818,3,8.4,19
194,"Says Mitt Romney, as governor of Massachusetts, put into place socialized medicine.",0,0.0,3,12.8,12
195,The same federal government that offers some money for a program is walking away from another health care program.,1,0.4939,1,11.9,19
196,I didnt try to push a bill to reduce lottery scholarship proceeds for students.,0,0.0,1,7.8,14
197,The Confederate battle flag in South Carolina was first flown at the statehouse in 1961.It was flown as a symbol of massive resistance to racial desegregation.,1,-0.3818,2,15.8,26
198,"Several times, Obama has apologized for what he deems to be American arrogance, dismissiveness, and derision; for dictating solutions, for acting unilaterally ... .",0,-0.3818,9,19.8,24
199,Some even advocate wiping out 401(k)s entirely and replacing them with government-run accounts.,0,0.0,4,15.1,13
200,"In 2000, I wrote about Osama bin Laden, Weve got to take him out.",0,0.0,3,3.0,14
201,I ended up my time as governor with a general fund budget that was smaller than the one I started with.,1,0.0,1,7.7,21
202,A friends sister died from Obamacare becauseBlue Shield completely just pulled out of California.,0,-0.128,1,13.8,14
203,Obamacare includes a $63 charge every American will begin paying (in 2013) as a way to cover some of the increased costs associated with providing health insurance to those with pre-existing conditions.,0,0.2732,5,19.7,32
204,"Forty years ago ... about half of congressional districts were genuinely competitive. Today, only about 10 percent of House races on Cook Political Report are listed as toss-ups or lean to one party.",1,0.5267,7,11.2,33
205,"When the national debt reaches $15 trillion, it means that U.S. debt-to-GDP ratio will reach 99.7 percent of our debt and this is $47,900 for every living American.",1,-0.5719,10,15.6,28
206,Most Americans are ready to put it [marijuana prohibition] behind us and move on.,1,0.4144,3,8.5,14
207,Obama tells Russia that hell turn over Americas defense system to them if re-elected.,0,-0.6249,2,9.8,14
208,The National Technical Information Service spends millions of taxpayer dollars to print and sell government documents that are available free in online searches.,1,0.5106,1,18.5,23
209,Says Bill Young voted twice for the Ryan budget that ends the current Medicare system.,1,0.0,1,8.7,15
210,I kicked crooked cops and government officials off the public pension rolls.,0,0.0,1,10.1,12
211,"Romney left Massachusetts ""with a $245-million debt because of the big government-mandated health care system.""",0,0.1779,6,16.5,15
212,Repealing and replacing Obamacare thats going to save $1 trillion over a 10-year period.,0,0.4939,3,10.8,14
213,The Georgia Legislatures last day of session ends at midnight.,0,0.0,1,8.5,10
214,"The brutal fact is, when it comes to education, America is slipping behind other nations.",0,-0.6249,3,9.6,15
215,I always supported civil unions.,0,0.3182,1,7.4,5
216,"Because Gov. Chris Christie vetoed a 30-bill job creation package, New Jersey ranks 50th in the nation in job creation.",0,0.4939,4,12.1,20
217,A poll taken a few months ago found 70 percent approval or higher for the Act 10 collective bargaining law.,0,0.4767,1,9.3,20
218,Sherrod Brown gave huge bonuses to executives.,0,0.7096,1,9.0,7
219,Unfortunately everyone needs to cut back in these tough economic times. Thats why I voted to cut my own pay along with the pay of our state employees.,0,-0.7845,2,6.2,28
220,"Says Donald Trump thinks that climate change is a hoax, invented by the Chinese.",1,-0.2732,2,8.1,14
221,Polls show Bernie Sanders would do better than Hillary Clinton in a head-to-head battle against Donald Trump.,1,0.0772,3,12.8,17
222,Increasing the bottle deposit to 10 cents on a case of water bottles could literally double the price of that product in the store.,0,0.0,1,11.8,24
223,"What difference, at this point, does it make? I am the guy that got under her skin and provoked that infamous response from Hillary Clinton by asking a pretty simple question, Why didnt you just pick up the phone and call the survivors (of the Benghazi attack)?",1,0.3527,7,11.8,47
224,Kasim Reed has kept every promise he made as a candidate.,1,0.3182,1,4.2,11
225,Wisconsins laws ranked the worst in the world for mining investment.,0,-0.6249,1,8.9,11
226,More people now die in Wisconsin from drug overdoses than car crashes.,1,-0.6326,1,7.7,12
227,"In Connecticut and New York, students at Achievement First schools consistently outperform city and statewide averages.",1,0.0,2,17.2,16
228,"Rick Scotts prison plan would cut Floridas prison budget in half, close prisons, and release tens of thousands of prisoners early -- murderers, rapists, sex offenders, armed robbers, drug dealers.",0,-0.9723,9,20.2,30
229,"Obama's one education accomplishment was ""legislation to teach 'comprehensive sex education' to kindergartners.""",0,0.25,6,21.3,13
230,"Forcing Americans off of their current health coverage and onto a government-run plan isn't the answer, but that's exactly what the Democrats' plan would do.",0,0.0,6,16.1,25
231,"During the Monica Lewinsky scandal, the Clintons brought the Rev. Jeremiah Wright to the White House for ""spiritual counseling.""",0,-0.4404,5,10.6,19
232,Only 14 percent of Americans were able to keep these individual market plans for two years before Obamacare became law.,1,0.0,1,12.1,20
233,"Never mind that no red light camera, no speed camera, nor any radar gun has ever stopped one accident from occurring.",0,-0.0485,3,10.8,21
234,"Only five states, including Georgia, do not have a hate crimes law.",1,0.4585,3,6.6,12
235,Marcy Kaptur voted against a ban which would have prevented the aborting of a baby girl for the sole reason that shes a girl.,1,-0.5423,1,10.6,24
236,The Health Care Compact bill would end Medicares guaranteed benefit for Tennessees Medicare recipients and shift management of the federal health care plan to the states TennCare program.,0,0.8555,1,19.5,28
237,"Barack Obama supported keeping troops in Iraq, but now he wants a ""precipitous withdrawal"" regardless of ""conditions on the ground"" or ""consequences of a defeat for the United States,"" an RNC radio ad.",1,0.128,9,19.2,33
238,"When Mitt Romney was governor, Massachusetts lost 40,000 manufacturing jobs, a rate twice the national average, and fell to 47th in job creation, fourth from the bottom.",1,-0.0516,6,17.0,27
239,Barack Obama is only the second Democrat in the last 75 years to win Ohio twice with more than 50 percent of the vote.,1,0.5859,1,9.2,24
240,ISIS is going to people showing videos of Donald Trump insulting Islam and Muslims in order to recruit more radical jihadists.,0,-0.4939,1,12.9,21
241,"The musical Mamma Mia! has ""been selling out for years.""",1,-0.3595,4,5.7,10
242,"The Bush administration's latest plans for troop withdrawal from Iraq by 2011 are ""more or less the same time frame I announced two years ago.""",1,0.0258,4,13.5,25
243,Chris Christie has not been effective at creating jobs (or have) a record of governing for effectiveness. ... New Jersey (has) one of the higher unemployment rates in the country at 9.4 percent.,1,-0.503,10,10.4,33
244,Barack Obama refuses to acknowledge Jerusalem as the capital of Israel.,1,0.0,1,10.2,11
245,I created the school choice program.,1,0.25,1,5.9,6
246,Nearly 25 percent of all automobile accidents are caused by texting while driving.,0,-0.3182,1,10.4,13
247,"The reality is, with a $2 trillion-a-year health care budget, we're spending more on health care, nearly 17 percent of our gross domestic product, versus 3.8 percent of GDP on the entire military budget.",0,0.5106,10,19.1,34
248,Bernie Sanders admits he is a Democratic Socialist. Nazis were Democratic Socialists.,0,0.296,2,10.6,12
249,We have four combat-ready brigades out of 40 in the U.S. Army.,0,0.0,4,4.6,12
